ID,Included from paper (ID),Snowballing Direction,Title,Authors,Venue,Venue Type,Year,I1,I2,I3,E1,E2,E3,E4,E5,E6,Included,Notes
ZSJ2LGWL,LSBAJWP4,B,How to measure energy-efficiency of software: Metrics and measurement results,"Johann, Timo; Dick, Markus; Naumann, Stefan; Kern, Eva",2012 First International Workshop on Green and Sustainable Software (GREENS),C,2012,x,x,x,,,,,,,x,"Paper proposes a technique to measure “energy consumption of specific parts of software which can be measured with a white box method and programmers are able to find resource intensive code, which is an advantage compared to black box methods” (Johann et al., 2012, p. 54)"
DNVP696E,LSBAJWP4,B,A review of energy measurement approaches,"Noureddine, Adel; Rouvoy, Romain; Seinturier, Lionel",ACM SIGOPS Operating Systems Review,J,2013,x,x,x,,,,,,,x,Paper reviews methods of measuring energy consumption during application runtime such as PowerScope and Jalen.
QKX9UAJY,LSBAJWP4,B,Fine-grained power management using process-level profiling,"Chen, Hui; Li, Youhuizi; Shi, Weisong",Sustainable Computing: Informatics and Systems,J,2012,x,x,x,,,,,,,x,"Paper proposes “the pTopW on Windows platform. This tool supplies two convenient user interfaces, which are APIs and performance counter, for poweraware applications” (Chen et al., 2012, p. 2) This paper is an extension of the previous pTop paper in that this measuring framework works for Windows."
FPFPKGFR,LSBAJWP4,B,Unit testing of energy consumption of software libraries,"Noureddine, Adel; Rouvoy, Romain; Seinturier, Lionel",Proceedings of the 29th Annual ACM Symposium on Applied Computing,C,2014,x,x,x,,,,,,,x,"Paper proposes “JalenUnit, a software framework that infers the energy consumption model of software libraries from execution traces.” (Noureddine et al., 2014, p. 1200)"
FHS5P4KV,LSBAJWP4,B,ptop: A process-level power profiling tool,"Do, Thanh; Rawshdeh, Suhib; Shi, Weisong",,C,2009,x,x,x,,,,,,,x,"Paper proposes “the design and implementation of pTop, a simple and efficient process-level power profiling tool.” (Do et al., 2009, p. 1)"
95RQKDX5,R2FNZSWN,B,Saving Energy on Mobile Devices by Refactoring.,"Gottschalk, Marion; Jelschen, Jan; Winter, Andreas",EnviroInfo,C,2014,x,x,x,,,,,,,x,"“This paper shows an approach to save energy on the application level on mobile devices. This approach includes the definition, detection, and restructuring of energy-inefficient code parts.” (Gottschalk et al., 2014, p. 1)"
8GIMDP84,GXRX9RTC,B,Towards applying reengineering services to energy-efficient applications,"Jelschen, Jan; Gottschalk, Marion; Josefiok, Mirco; Pitu, Cosmin; Winter, Andreas",2012 16th European Conference on Software Maintenance and Reengineering,C,2012,x,x,x,,,,,,,x,"This “paper discusses how software reengineering techniques, like dynamic analysis and refactoring, can be applied to the field of energy-aware computing, to monitor, analyze, and optimize the energy profile of mobile applications and devices” (Jelschen et al., 2012, p. 347)"
HGVX2ISL,GXRX9RTC,B,Exploring the energy consumption of data sorting algorithms in embedded and mobile environments,"Bunse, Christian; Höpfner, Hagen; Mansour, Essam; Roychoudhury, Suman","2009 Tenth International Conference on Mobile Data Management: Systems, Services and Middleware",C,2009,x,x,x,,,,,,,x,Paper finds that sorting algorithms that use in place sorting are more energy efficient than those that do not. They also find that data structures influence the energy consumption of the sorting algorithms
ZARPMKH3,TKSV4V8X,B,Making web applications more energy efficient for OLED smartphones,"Li, Ding; Tran, Angelica Huyen; Halfond, William GJ",Proceedings of the 36th International Conference on Software Engineering,C,2014,x,x,x,,,,,,,x,"Paper proposes to “automatically rewriting web applications so that they generate more energy efficient web pages.” (Li et al., 2014, p. 527) Achieving “a 40% reduction in display power consumption.” (Li et al., 2014, p. 527)"
SJ37G2UP,2A3BQM5I,B,What is keeping my phone awake? Characterizing and detecting no-sleep energy bugs in smartphone apps,"Pathak, Abhinav; Jindal, Abhilash; Hu, Y. Charlie; Midkiff, Samuel P.","Proceedings of the 10th international conference on Mobile systems, applications, and services",C,2012,x,x,x,,,,,,,x,Paper proposes refactorings and analysis of the no-sleep bugs for mobile devices.
